[2025-10-28 02:07:41.302] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: GET / | IP: ::1
[2025-10-28 02:07:41.351] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] ✅ ANONYMOUS ACCESS: GET /index.html | Status: 200
[2025-10-28 05:36:34.617] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:36:34.705] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] ℹ️ ANONYMOUS ACCESS: POST /api/users/login | Status: 400
[2025-10-28 05:36:58.730] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:36:58.779] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🚫 ANONYMOUS DENIED: POST /api/users/login | Status: 401 (Authentication required)
[2025-10-28 05:37:59.045] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:37:59.064] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🚫 ANONYMOUS DENIED: POST /api/users/login | Status: 401 (Authentication required)
[2025-10-28 05:38:00.590] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:38:00.607] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🚫 ANONYMOUS DENIED: POST /api/users/login | Status: 401 (Authentication required)
[2025-10-28 05:38:45.102] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:38:45.121] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🚫 ANONYMOUS DENIED: POST /api/users/login | Status: 401 (Authentication required)
[2025-10-28 05:50:30.599] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:50:30.685] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] ℹ️ ANONYMOUS ACCESS: POST /api/users/login | Status: 400
[2025-10-28 05:50:42.216] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:50:42.223] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] ℹ️ ANONYMOUS ACCESS: POST /api/users/login | Status: 400
[2025-10-28 05:51:02.039] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
[2025-10-28 05:51:02.079] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🚫 ANONYMOUS DENIED: POST /api/users/login | Status: 401 (Authentication required)
[2025-10-28 05:53:38.298] [INFO] [Gamestore.WebApi.Middleware.AuthorizationLoggingMiddleware] 🔓 ANONYMOUS REQUEST: POST /api/users/login | IP: ::1
